jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,4313,257.0,,2089.0,,10494.0,2.4490184867543356,19.906613302839716
2012,4402,155.0,,1383.0,,6281.0,2.467759910842223,22.01878681738577
2012,4419,57.0,,451.0,,1359.0,4.194260485651214,33.18616629874908
2012,4450,414.0,,2158.0,,6269.0,6.603924070824693,34.423353006859145
2012,4460,301.0,,1784.0,,5721.0,5.261317951407097,31.183359552525786
2012,4514,73.0,,527.0,,1425.0,5.12280701754386,36.98245614035088
2012,4525,10.5,1.0,49.0,,176.0,5.965909090909092,27.840909090909093
2012,4533,101.0,,646.0,,1802.0,5.60488346281909,35.84905660377358
2012,4565,85.0,,514.0,,1730.0,4.913294797687861,29.710982658959537
2012,4581,10.5,1.0,95.0,,264.0,3.977272727272727,35.984848484848484
2012,4586,22.0,,91.0,,331.0,6.646525679758308,27.492447129909365
2012,4612,417.0,,1486.0,,4881.0,8.543331284572833,30.44458102847777
2012,4616,210.0,,846.0,,2971.0,7.068327162571525,28.475260854931
2012,4617,70.0,,434.0,,1631.0,4.291845493562232,26.609442060085836
2012,4623,108.0,,524.0,,1949.0,5.541303232426886,26.885582349923038
2012,4629,75.0,,386.0,,1676.0,4.474940334128878,23.031026252983292
2012,4654,255.0,,1219.0,,3864.0,6.599378881987578,31.54761904761905
2012,4717,80.0,,423.0,,2199.0,3.6380172805820825,19.236016371077763
2012,4806,75.0,,369.0,,1350.0,5.555555555555555,27.333333333333332
2012,4913,31.0,,145.0,,680.0,4.5588235294117645,21.323529411764707
2012,4915,34.0,,249.0,,726.0,4.683195592286501,34.29752066115702
2012,4923,49.0,,330.0,,1481.0,3.308575286968265,22.282241728561786
2012,4942,10.5,1.0,67.0,,392.0,2.678571428571429,17.091836734693878
2012,4952,40.0,,305.0,,1389.0,2.8797696184305255,21.958243340532757
2012,5024,335.0,,1405.0,,3469.0,9.65696166042087,40.501585471317384
2012,5025,20.0,,91.0,,266.0,7.518796992481203,34.21052631578947
2012,5040,196.0,,1167.0,,3895.0,5.03209242618742,29.9614890885751
2012,5043,35.0,,277.0,,1258.0,2.7821939586645468,22.019077901430844
2012,5053,32.0,,224.0,,1024.0,3.125,21.875
2012,5054,38.0,,345.0,,1637.0,2.3213194868662184,21.075137446548563
2012,5056,9.535714285714286,1.0,58.0,,299.0,3.1892021022455808,19.39799331103679
2012,5062,26.0,,154.0,,586.0,4.436860068259386,26.27986348122867
2012,5073,258.0,,1147.0,,3349.0,7.703792176769185,34.249029561063004
2012,5077,20.0,,75.0,,271.0,7.380073800738007,27.675276752767527
2012,5082,74.0,,515.0,,2306.0,3.2090199479618384,22.33304423243712
2012,5084,9.535714285714286,1.0,35.0,,193.0,4.940784603997039,18.134715025906733
2012,5085,9.535714285714286,1.0,201.0,,934.0,1.0209544203120222,21.5203426124197
2012,5105,74.0,,525.0,,1531.0,4.833442194644023,34.29131286740692
2012,5210,720.0,,2391.0,,6760.0,10.650887573964496,35.3698224852071
2012,5212,178.0,,1030.0,,3089.0,5.7623826481061835,33.34412431207511
